# File Format Version = 2
# File Timestamp = 1/23/2018 11:47:46 AM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-110231.92.buf
# Measurement ID = 69
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,1.669,MidAir,2246.76227,4.59719,89.50000,140.42493,148.80033
2,2.173,Alpha,2317.76621,4.74853,87.50000,140.81513,149.46227
3,2.204,Alpha,2414.03290,4.81701,87.50000,145.30070,151.25627
4,2.945,Alpha,2349.26911,4.87067,87.50000,141.04477,151.22378
5,3.119,Alpha,2433.69542,4.84558,88.50000,145.04304,150.68930
6,3.131,Alpha,2226.97238,4.59391,86.50000,139.33905,148.77008
7,3.311,Alpha,2243.67651,4.49499,79.00000,145.65113,152.54206
8,3.325,Alpha,2279.68709,4.80443,88.50000,139.54864,151.68654
9,3.538,Alpha,2387.58642,5.17516,89.50000,137.72010,153.02871
10,4.300,MidAir,2167.65328,4.70447,89.00000,134.28640,148.79594
11,4.995,Alpha,1818.58935,3.78859,88.00000,142.11558,153.42585
12,6.390,Alpha,2313.32289,4.86797,88.50000,139.22556,151.24230
13,7.180,Alpha,2287.01133,4.95144,90.00000,136.60520,151.31718
14,7.570,Alpha,2380.33331,4.84763,81.00000,141.62882,149.92583
15,8.121,Alpha,2217.23069,4.46032,88.00000,146.88532,154.25143
16,8.264,Alpha,2374.92492,4.97794,86.00000,142.49949,154.70691
17,8.883,MidAir,2291.91748,4.57633,90.50000,142.82756,148.44341
18,8.908,MidAir,2245.68978,4.61008,92.50000,142.27397,150.63284
19,9.700,Alpha,2334.69346,4.72253,88.00000,144.04074,151.62033
20,9.812,Alpha,2473.35829,4.96335,87.50000,147.40457,154.25624
21,10.706,Alpha,2440.56499,4.91136,88.50000,143.78773,150.59076
22,12.117,Alpha,2317.95681,4.87608,90.00000,139.71272,151.17859
23,12.385,Alpha,2307.62416,4.87324,90.50000,139.32437,151.22330
24,12.483,Alpha,2021.98605,4.08383,91.50000,145.69010,152.86029
25,12.564,Alpha,2496.22888,4.98691,88.50000,147.54347,153.85263
26,14.059,MidAir,2202.46284,4.60660,90.00000,139.14236,149.87399
27,14.781,Alpha,2402.61976,4.93667,88.00000,144.17082,153.70476
28,15.723,Alpha,2356.86405,4.72540,86.00000,143.67598,150.17911
29,15.782,MidAir,2242.60357,4.49951,91.00000,142.57525,148.72995
30,16.288,Alpha,2347.00585,4.87635,87.50000,139.02092,149.19517
31,16.764,Alpha,2496.03055,4.84011,88.50000,148.96146,151.55589
32,17.731,Alpha,2118.01241,4.18134,86.00000,145.74200,150.57697
33,17.947,Alpha,2331.86095,4.88264,86.50000,140.34203,151.91910
34,19.224,MidAir,2165.92162,4.77001,90.00000,133.46187,149.39232
35,20.378,Alpha,2253.64837,4.70305,89.00000,139.55694,150.37470
36,20.837,MidAir,2239.65358,4.79230,92.00000,138.54212,151.63001
37,20.921,Alpha,2363.97881,4.85763,86.50000,142.77778,152.30199
38,21.597,Alpha,2294.30329,4.69932,90.50000,142.19943,150.80307
39,22.040,Alpha,2170.59214,4.78697,89.00000,133.13106,149.31748
40,22.796,Alpha,2276.89323,4.62681,88.00000,141.06117,148.75215
41,23.101,Alpha,2354.35440,4.82790,90.00000,143.13904,152.07513
42,24.677,Alpha,2311.49393,4.76296,91.00000,144.08240,153.61784
43,25.059,Alpha,1316.22033,2.72047,74.50000,128.93260,139.35930
44,25.083,Alpha,2338.70282,4.95090,90.00000,139.45936,151.73969
45,25.684,MidAir,2256.26451,4.56663,89.50000,140.72416,147.80682
46,25.775,MidAir,2308.30287,4.75216,89.50000,140.01346,148.94423
47,25.937,Alpha,2383.54231,4.82016,87.50000,146.64579,154.61855
48,26.088,Alpha,2336.07557,4.89791,89.00000,138.15294,149.20689
49,26.174,Alpha,2401.23741,4.80326,87.00000,143.05819,149.10744
50,26.768,Alpha,2101.25557,4.63674,90.50000,134.69217,151.11541
51,27.297,Alpha,2443.29385,4.89070,90.00000,146.14758,152.51265
52,27.857,Alpha,2305.79239,4.81898,90.50000,141.75126,152.91820
53,29.272,Alpha,2295.86799,4.56709,79.50000,143.58392,149.20705
54,29.525,Alpha,2441.72717,4.82833,90.50000,147.77202,152.62975
55,30.853,Alpha,3994.26867,7.88035,91.00000,149.46396,153.95502
56,31.202,Alpha,2393.02894,4.81316,88.00000,144.00479,150.79363
57,31.226,Alpha,2386.00929,4.91978,86.50000,142.70431,152.76499
58,33.178,MidAir,2163.96174,4.55387,91.00000,137.82945,149.02257
59,33.788,Alpha,2292.97491,4.85675,88.00000,139.39531,152.35580
60,34.186,MidAir,2220.24106,4.57685,90.00000,139.75164,148.76048
61,36.634,MidAir,2228.63362,4.78001,89.00000,134.84893,148.04640
62,37.601,Alpha,2303.64291,4.67812,91.00000,143.40517,151.07021
63,38.103,MidAir,2254.58750,4.77181,91.00000,138.03262,149.92004
64,38.908,Alpha,2432.98765,5.09855,84.00000,141.94915,154.15856
65,38.960,Alpha,2414.71994,4.87327,87.50000,145.22637,152.57166
66,39.063,Alpha,2373.83349,4.66493,86.00000,145.01904,149.08690
67,40.510,Alpha,2285.46950,4.60470,86.50000,146.87067,154.44711
68,40.837,Alpha,2371.67634,4.99065,89.50000,140.52424,152.37032
69,41.706,Alpha,2240.64276,4.81565,90.00000,137.14600,151.22251
70,42.936,Alpha,2590.80618,5.69028,88.50000,133.11218,148.85755
71,43.021,MidAir,2286.37536,4.64878,90.50000,140.17084,147.53511
72,43.583,Alpha,2321.96226,4.81267,88.00000,139.52753,149.30348
73,43.762,Alpha,2263.53171,4.54323,90.00000,144.01192,150.35066
74,44.914,Alpha,2437.16330,4.94108,88.00000,146.03933,154.11540
75,45.511,Alpha,2223.18427,4.68939,88.00000,137.39888,149.04193
76,45.914,Alpha,1515.21043,3.04395,81.00000,139.35210,146.36748
77,46.279,MidAir,2203.16411,4.59054,91.50000,139.06795,148.97787
78,46.402,Alpha,2475.43481,5.04245,87.50000,144.65377,153.16751
79,47.063,MidAir,2257.01168,4.53188,90.00000,142.20700,148.43587
80,47.427,MidAir,2238.10094,4.65870,89.00000,138.09298,148.05707
81,49.234,Alpha,2338.92800,4.75126,91.50000,144.05272,151.79626
82,49.507,MidAir,2293.41268,4.59867,90.00000,142.88052,149.08538
83,49.862,Alpha,2399.00183,4.81308,89.50000,147.05928,153.69829
84,50.081,Alpha,2476.66111,4.95986,89.00000,145.75960,152.19825
85,51.977,Alpha,2289.45304,4.71917,90.00000,141.04646,150.24326
86,52.257,Alpha,2092.34367,4.18089,88.50000,146.70089,153.04328
87,52.361,Alpha,2366.51325,4.85316,90.00000,145.19005,154.40464
88,53.542,MidAir,2176.65809,4.59461,91.00000,137.64386,149.17462
89,54.558,Alpha,2449.11538,4.87028,88.50000,146.63428,152.25504
90,55.142,Alpha,2300.53409,4.74725,89.50000,140.33730,149.72055
91,56.236,Alpha,2461.35600,5.00663,88.50000,143.38694,151.42148
92,56.318,MidAir,3531.44430,7.89057,91.50000,134.16035,150.80947
93,56.597,Alpha,2324.94766,4.81553,91.00000,144.84068,155.21631
94,57.424,MidAir,2129.73529,4.65005,90.50000,133.63591,148.33971
95,57.839,Alpha,2406.75318,4.77240,88.50000,144.68818,149.74943
96,58.489,Alpha,2393.55344,4.73428,83.00000,142.79274,147.51878
97,58.832,MidAir,2383.07363,4.52640,90.50000,147.56286,147.70255
98,60.048,MidAir,2309.37792,4.91279,91.50000,138.56446,151.06284
99,60.082,Alpha,2452.26751,4.98953,85.50000,142.51053,150.67551
100,61.706,Alpha,3134.51900,8.33125,92.00000,119.65095,154.26301
101,61.837,Alpha,2314.46493,4.91786,89.50000,138.56639,151.24312
102,62.282,Alpha,2308.41556,5.06343,86.50000,134.83094,151.38762
103,62.362,MidAir,2059.07917,4.32068,92.00000,137.78548,148.26081
104,63.521,MidAir,2099.13392,4.45107,90.50000,137.55826,149.74393
105,63.661,Alpha,2489.01607,5.23702,84.00000,142.24618,155.09127
106,63.716,Alpha,2238.93191,4.54127,88.50000,143.44816,151.26123
107,63.794,Alpha,2446.14503,4.94415,88.50000,146.04597,153.45703
108,64.016,MidAir,2276.66038,4.54392,90.50000,142.84810,148.42186
109,64.287,Alpha,2413.14746,4.83240,87.50000,144.88017,151.21268
110,64.824,Alpha,2400.16247,4.87753,89.00000,143.69747,151.74104
111,64.979,Alpha,2251.97369,4.90298,87.50000,133.66451,148.57830
112,65.205,Alpha,2308.89981,4.92177,87.00000,139.14258,152.74692
113,67.305,Alpha,2388.68567,4.66397,89.50000,147.52511,150.82449
114,67.779,Alpha,2468.63978,4.94228,88.00000,149.73039,156.63109
115,68.181,Alpha,2458.43326,5.02826,85.50000,142.89627,151.81917
116,68.711,Alpha,2425.07830,4.97227,90.00000,147.04257,156.64578
117,70.134,MidAir,2219.18887,4.60005,90.50000,139.35405,148.91465
118,70.585,Alpha,2270.12067,4.79813,85.50000,137.18185,149.31752
119,71.080,Alpha,2318.87470,4.82954,87.50000,138.45345,148.92903
120,71.950,Alpha,2321.36405,4.73419,89.50000,141.45053,149.57669
121,72.204,MidAir,2313.84470,4.85806,91.50000,139.51940,150.72688
122,72.307,Alpha,2320.54444,4.81194,85.50000,137.82623,147.60787
123,72.555,Alpha,2334.79137,4.87854,91.00000,141.44259,152.36392
124,73.112,Alpha,2246.19855,4.81576,90.50000,138.08224,151.93772
125,80.511,MidAir,2254.35318,4.64499,90.50000,141.15800,150.16240
126,80.555,Alpha,2373.70828,4.73847,89.50000,144.90659,150.75992
127,81.860,MidAir,2265.65624,4.52136,90.00000,142.61785,148.14251
128,81.862,Alpha,2097.24413,4.40638,87.00000,136.54736,147.60849
129,82.121,Alpha,2361.53437,4.85309,87.50000,143.42115,153.05826
130,82.523,Alpha,2392.43413,4.72088,88.00000,144.36081,148.80970
131,82.660,Alpha,2412.12471,5.06939,89.00000,141.61100,153.76125
132,82.715,MidAir,2174.59673,4.43015,92.50000,143.43146,151.27281
133,83.391,Alpha,2445.26258,4.89879,84.50000,147.26073,154.13607
134,84.167,MidAir,2147.40146,4.42501,92.00000,139.45406,147.95465
135,84.284,Alpha,2364.54190,4.96805,91.00000,143.36132,155.44571
136,84.406,Alpha,3092.49878,6.23798,89.50000,147.76148,155.11988
137,84.442,Alpha,2305.78842,4.55360,90.00000,147.57087,152.21621
138,84.798,Alpha,2349.26318,4.82634,88.00000,141.58090,150.87502
139,85.148,Alpha,2307.19368,4.55279,87.00000,142.97002,147.34503
140,85.567,MidAir,2181.19271,4.59037,91.00000,136.12963,146.94992
141,86.065,MidAir,2278.88598,4.57733,92.00000,145.66654,151.95827
142,86.298,Alpha,2330.31885,4.72996,87.50000,142.12663,149.87527
143,86.888,MidAir,2241.85898,4.62998,90.00000,138.51145,147.59217
144,87.111,MidAir,2208.91233,4.56093,90.50000,140.76193,149.95108
145,87.525,Alpha,2389.93067,4.94893,86.50000,140.72382,150.92907
146,88.758,Alpha,2319.69943,4.77235,90.50000,142.73123,151.88867
147,91.141,Alpha,2380.46702,4.77486,90.50000,147.13292,153.79213
148,91.213,Alpha,2411.25399,4.83073,90.00000,145.36145,151.68445
149,91.629,MidAir,2104.39659,4.56317,90.50000,136.10317,150.43964
150,92.990,Alpha,2364.91503,4.58881,89.00000,149.95988,152.71692
151,93.158,Alpha,2340.30556,4.79018,90.00000,145.14328,154.05081
152,93.994,Alpha,2349.75165,4.83674,87.50000,141.94960,151.47680
153,94.766,Alpha,2220.52656,4.57581,87.50000,139.43164,148.68428
154,94.838,Alpha,2306.03953,4.86036,89.50000,139.96452,152.16422
155,96.619,MidAir,2228.57348,4.60692,90.50000,139.50085,148.90130
156,96.714,MidAir,2130.64131,4.53098,89.50000,136.90298,149.29952
157,99.761,Alpha,2365.50411,4.85982,88.50000,141.82566,150.92448
158,100.466,MidAir,1946.43324,4.10955,92.50000,135.11207,145.57116
159,101.249,Alpha,2356.75249,4.81512,88.50000,146.29592,155.46967
160,101.828,MidAir,2184.80108,4.67229,91.00000,135.64590,148.34650
161,101.861,Alpha,2499.58993,5.12949,87.50000,146.44155,156.29538
162,102.200,Alpha,1927.80515,3.79323,85.50000,147.13865,151.64480
163,104.040,Alpha,2201.71226,4.82005,87.50000,136.56051,153.63372
164,105.283,Alpha,2397.73748,4.77792,89.50000,145.25131,150.88549
165,106.623,Alpha,2234.86708,4.40424,88.00000,146.95961,151.50636
166,107.274,Alpha,2243.73556,4.77448,87.50000,135.21245,147.69272
167,107.414,Alpha,2439.54102,4.86138,85.50000,146.41500,152.33711
168,108.020,Alpha,2629.45456,5.53212,91.00000,140.76566,152.31066
169,108.966,Alpha,2363.50358,4.63399,89.50000,146.11545,149.88889
170,109.307,MidAir,2167.71893,4.63369,90.00000,136.06668,149.03275
171,109.674,Alpha,2349.94908,5.10854,84.50000,136.24550,152.33427
172,109.713,Alpha,2450.29858,5.04352,89.00000,144.43372,154.32812
173,110.449,Alpha,2320.40886,4.65925,91.00000,144.67674,151.02751
174,110.501,Alpha,2328.97203,4.71638,91.00000,144.81804,152.33291
175,111.016,Alpha,2306.60853,4.99999,88.50000,134.92015,149.64065
176,111.275,MidAir,2151.52288,4.52732,92.50000,138.95035,149.90941
177,112.343,Alpha,2321.51455,4.57477,88.50000,144.32276,148.62238
178,112.354,Alpha,2283.30804,4.65429,89.50000,142.10144,150.04946
179,112.808,Alpha,2426.96518,4.90080,79.50000,143.87565,151.53489
180,113.611,MidAir,2132.49343,4.52228,92.50000,136.34987,147.61495
181,114.041,MidAir,2301.03520,4.48125,89.00000,143.88438,146.74007
182,114.105,Alpha,2396.96382,4.75903,89.50000,147.32757,152.75686
183,114.417,Alpha,2189.26753,4.69020,90.50000,137.35662,150.65155
184,114.509,Alpha,2256.58583,4.75568,90.50000,138.96747,150.75765
