# File Format Version = 2
# File Timestamp = 1/23/2018 3:55:56 PM
# CounterMeasure Version = 1.1.39.30507
# AAE Version = 2.0.16
# Computer Name = UL-1113
# Buffer File Name = C:\Users\UltraLo\AppData\Roaming\XIA LLC\CounterMeasure\Buffers\2018-01-23-151047.01.buf
# Measurement ID = 73
# Data Type = analysis results
# ROI Active = False
# Counter ID = 6577183
# Last Calibration = 7/3/2017 7:00:00 AM
# Event ID,Trigger time (s),Event class,Anode amplitude (ADC),Anode energy (MeV),Anode t0 (microseconds),Anode tS (microseconds),Anode tR (microseconds)

1,1.757,Alpha,2351.05533,4.94572,88.00000,140.01807,151.95056
2,2.265,Alpha,2300.04992,4.67148,90.50000,147.35929,155.76310
3,2.740,Alpha,2325.68622,4.82322,90.00000,140.32569,150.23274
4,4.298,Alpha,2269.57659,4.71608,87.50000,139.50873,149.87180
5,4.849,Alpha,2343.28640,4.71688,89.00000,145.65731,152.79560
6,5.732,Alpha,2249.05585,4.80200,90.00000,138.13302,151.19112
7,5.943,Alpha,2401.71122,4.86822,89.00000,145.63547,153.61734
8,6.057,Alpha,2247.74708,4.43478,90.00000,146.85952,151.39172
9,6.244,Alpha,2330.15221,4.99275,88.00000,140.44039,155.43464
10,6.362,Alpha,2270.84208,4.64357,90.00000,141.86052,150.11294
11,7.392,Alpha,2293.58821,4.60857,90.50000,145.22094,151.71825
12,9.118,Alpha,2358.05004,4.88599,85.50000,142.06920,152.73497
13,9.868,Alpha,1639.80327,3.28243,86.50000,145.97610,152.66200
14,10.070,Alpha,2441.49082,4.80315,89.50000,151.06280,155.70148
15,10.493,Alpha,2411.37479,4.84552,89.00000,147.83341,154.89152
16,10.856,Alpha,2324.54684,4.63431,89.00000,144.89806,150.58596
17,13.530,MidAir,2231.83006,4.68056,90.50000,138.43987,149.32105
18,14.213,Alpha,2327.79535,4.68958,87.00000,144.71720,151.87567
19,15.795,Alpha,2347.65789,4.92087,80.00000,138.86005,150.41218
20,16.049,Alpha,2252.19190,4.87918,89.00000,137.84850,153.25422
21,16.473,Alpha,2345.97101,4.82899,90.50000,146.28116,156.14890
22,17.556,MidAir,2212.19310,4.56073,91.50000,142.13861,151.30178
